Name,encoding,Status
Hana elzahed,"-0.08336956650018693,0.08995156437158584,0.09876231998205184,-0.114788818359375,-0.1357222765684128,0.039434300689026716,-0.10350165963172912,-0.07054411992430687,0.1994057983160019,-0.11984148919582367,0.1004963457584381,-0.0606761584058404,-0.14371858388185502,0.10376498326659203,-0.050237656012177466,0.19649453461170197,-0.19081490635871887,-0.13995098322629929,-0.038938770443201064,-0.018295638635754584,-0.01384422304108739,0.03613670989871025,-0.017238176614046096,0.10345888882875443,-0.13599838614463805,-0.3598752021789551,-0.07286103069782257,-0.01849908009171486,-0.06412425115704537,-0.0906797468662262,-0.026208803057670593,0.13370966017246247,-0.1905508130788803,0.010345160029828548,0.03225370142608881,0.1494217813014984,-0.010244431532919407,-0.09956374615430832,0.14793598055839538,0.09342001900076866,-0.20161497294902803,-0.024782690592110156,0.08505662009119988,0.2848441660404205,0.20671834349632262,0.01100033950060606,0.022670698724687098,-0.05490619037300348,0.18219746351242067,-0.26116940677165984,0.01640414074063301,0.166480752825737,0.05584670715034008,0.10111926794052124,0.09107352793216705,-0.13326964229345323,0.048208586126565936,0.07316178642213345,-0.09919759780168533,0.05321717783808708,0.034894322603940965,-0.0351931793615222,0.07082366235554219,-0.1335889905691147,0.22640581727027892,0.1037933349609375,-0.08412728309631348,-0.12471201717853546,0.14097702801227568,-0.07779892757534981,-0.10393591225147247,-0.024058292526751755,-0.16918866336345673,-0.18762243390083314,-0.29702299237251284,-0.025169860385358334,0.32186753749847413,0.16066526174545287,-0.17169805467128754,0.07242127694189548,-0.02452549450099468,-0.08451524153351783,-0.017070278339087964,0.1982358694076538,-0.000648709200322628,0.06522631198167801,0.005227430816739797,0.08086820766329765,0.2725880891084671,-0.03094582390040159,0.01458670264109969,0.22998432219028472,-0.04260391052812338,0.0054500939324498175,-0.03680168585851788,0.032542021945118904,-0.12266661822795868,0.060079135745763776,-0.1747637540102005,-0.01127007817849517,-0.02400097530335188,0.008866828680038453,0.0028131254017353057,0.15074333548545837,-0.26030655205249786,0.17050567269325256,-0.01608706321567297,-0.024748663790524005,-0.05244591310620308,0.050575139163993296,-0.12210858464241028,-0.025611414387822152,0.17991615533828736,-0.2112788051366806,0.1473347321152687,0.19605744481086732,0.014110373752191662,0.11784272938966751,0.04834356456995011,0.08260454311966896,0.05702436417341232,0.020159691199660303,-0.11088441014289856,-0.05634649321436882,0.047309869527816774,-0.02001013457775116,-0.03842879980802536,0.08738562017679215",Known person(Actress)
Hoda el mufty,"-0.19276121507088342,0.10171474268039067,0.040288856253027916,-0.0767287624378999,-0.14333530515432358,-0.021816764414931338,-0.06535596090058486,-0.09512573728958766,0.2614661231637001,-0.15426895767450333,0.17724572122097015,-0.014103457254047195,-0.17062058051427206,0.0724782186249892,-0.13885859275857607,0.13762986411650976,-0.19950774808724722,-0.09915764505664508,0.008194658284386,-0.04218988430996736,0.13340192288160324,0.0011915250215679407,0.02783700334839523,0.1478191427886486,-0.15183168898026148,-0.33809320131937665,-0.09296367006997268,-0.08305998953680198,0.008981973553697268,-0.10971932982405026,0.017636368206391733,0.023337886901572347,-0.2373048389951388,-0.012774913882215818,-0.024379432046165068,0.1590572645266851,-0.013546293756614128,-0.04985750963290533,0.12228641534845035,0.01675094213957588,-0.23936694115400314,-0.022566297246764105,0.04229669629906615,0.24122331043084463,0.1879696622490883,0.0636217469194283,0.004463502671569586,-0.12208080664277077,0.11112524382770061,-0.19593679656585059,0.036795517429709435,0.1603769858678182,0.04167892108671367,0.04056305531412363,0.04740056612839302,-0.1500427486995856,0.05286549838880698,0.0995442233979702,-0.17724649359782538,-8.318278317650159e-05,0.10049202851951122,-0.06280775678654511,0.022312453637520473,-0.055032901310672365,0.2117401584982872,0.11675581336021423,-0.10611488670110703,-0.14506986737251282,0.17706984281539917,-0.2282387986779213,-0.02673182652021448,0.08963297431667645,-0.09372564529379208,-0.22382047275702158,-0.24362922459840775,0.01668560365214944,0.4522692710161209,0.21138674269119898,-0.07048535284896691,0.08972440970440705,-0.06848036622007687,-0.037090019012490906,0.018489666050300002,0.1937074139714241,-0.03062699642032385,0.07155965454876423,-0.05967515831192335,0.0611710287630558,0.15639535586039224,0.036078440956771374,0.005129598469162981,0.21707584460576376,-0.007216677845766147,-0.01817035737137,0.022117395419627428,0.034542136980841555,-0.20013050238291422,0.025158519235750038,-0.1068026212354501,-0.05169021772841612,-0.0794999251763026,0.0002446644939482212,-0.01627334028792878,0.08299701039989789,-0.19516322016716003,0.17294899374246597,-0.07309912952284019,-0.07139092249174912,-0.07529902396102746,0.015204791290064653,-0.06672618786493938,-0.030174894568820793,0.12272451942165692,-0.2544165179133415,0.16261413196722665,0.14764611050486565,0.047592531656846404,0.21838329484065375,0.06571887123088042,0.11905661597847939,0.030098552505175274,-0.008620911898712317,-0.14786792049805322,-0.041723122276986636,0.021364797217150528,-0.12683862199385962,0.10590963065624237,-0.022077679478873808",Known person(Actress)
karim abdelziz,"-0.02236516820266843,0.07968987058848143,0.022613627836108208,-0.051235299557447433,-0.019530006917193532,0.018572833854705095,-0.022777948761358857,-0.09369783848524094,0.2115173488855362,-0.05941179255023599,0.08763387799263,-0.046610384015366435,-0.24892520904541016,-0.062475319020450115,-0.01679910346865654,0.1134610129520297,-0.17142199724912643,-0.18092124536633492,-0.09518280066549778,-0.0971539756283164,-0.035719747422263026,0.056071639992296696,0.010428489418700337,-0.029742027632892132,-0.14961694180965424,-0.33490558713674545,-0.07001466490328312,-0.15642298012971878,0.058339804876595736,-0.14214477129280567,-0.01846825610846281,0.020331210689619184,-0.1836555041372776,-0.048132168129086494,0.027672627475112677,0.03428258141502738,0.010959714243654162,-0.017344939056783915,0.1717093326151371,0.10864759422838688,-0.15738076344132423,0.009308321867138147,0.05125989392399788,0.296495258808136,0.15627558156847954,0.06766849011182785,-0.04044229304417968,-0.0050995321944355965,0.11359962821006775,-0.2282085195183754,0.12704988569021225,0.14447129517793655,0.08999544382095337,0.0651765838265419,0.1797468364238739,-0.1743307188153267,-0.027506383834406734,0.04409148218110204,-0.20124253630638123,0.1345469132065773,0.09080979973077774,0.041603908874094486,-0.04563882271759212,-0.03384164208546281,0.15425363555550575,0.05973843112587929,-0.10858269408345222,-0.11214502528309822,0.0877484455704689,-0.16125665605068207,0.0020983441499993205,0.0049656875198706985,-0.0905544850975275,-0.10888155363500118,-0.28388749808073044,0.05150121357291937,0.3406943380832672,0.09639598615467548,-0.1446878556162119,-1.0686926543712616e-06,-0.024363322998397052,-0.06933221500366926,0.03493319917470217,0.01802514516748488,-0.0969624686986208,0.042320732260122895,-0.0204384857788682,0.00708907307125628,0.11639857850968838,0.02581377630122006,-0.030715288361534476,0.17027711495757103,-0.12192675098776817,-0.029438755474984646,-0.015428988263010979,0.04386391560547054,-0.15379298105835915,-0.024404510855674744,-0.08515820279717445,-0.0350250827614218,0.06187927257269621,-0.12987683713436127,-0.004930872586555779,0.12078393623232841,-0.18491829186677933,0.09377934038639069,0.004308256669901311,-0.04943005461245775,-0.013312555383890867,0.11560874246060848,-0.1490338258445263,-0.06432213820517063,0.17882632091641426,-0.26672033220529556,0.21443543955683708,0.20871258527040482,-0.03292590007185936,0.052245497703552246,0.011109796934761107,0.040635036304593086,-0.0025334800593554974,0.08987956494092941,-0.09958910010755062,-0.14255518093705177,-0.03941735834814608,-0.00041638745460659266,-0.026503673056140542,0.04690672131255269",Known person(Actor)
Maradona,"-0.08628813922405243,0.14032208174467087,0.05706494549910227,-0.018085878652830917,-0.056811860452095665,-0.013015614822506905,-0.03875003941357136,-0.045445178945859276,0.11535277217626572,-0.025405894344051678,0.18865008155504862,-0.010140521607051292,-0.1977612574895223,-0.052493635565042496,-0.09960150718688965,0.10646353662014008,-0.20928648114204407,-0.12347933153311412,-0.12144839763641357,-0.009040283970534801,0.093586765229702,0.015796158462762833,0.06536197414000829,0.004386563474933307,-0.1410896728436152,-0.2916056215763092,-0.0816648763914903,-0.13119270900885263,0.011845695165296396,-0.08312851563096046,-0.027861975754300754,-0.028232598987718422,-0.2234253833691279,-0.09370215237140656,0.0196693226074179,0.029331739991903305,-0.02139930349464218,-0.020662592103083927,0.16793384154637656,-0.004845265919963519,-0.17540050546328226,0.11548986534277599,0.10751112302144368,0.2631629357735316,0.261139581600825,0.0879763017098109,-0.05264690766731898,-0.007436027439932029,0.11588817338148753,-0.21591696639855704,0.06132905123134454,0.1289880300561587,0.20666053891181946,0.10322815055648486,0.11572100470463435,-0.11907086769739787,0.03575875610113144,0.0924864336848259,-0.13408058136701584,0.03269855251225332,0.019271519035100937,-0.02694393942753474,0.08710283413529396,-0.02449101147552331,0.14427105337381363,0.01739773650964101,-0.10239385068416595,-0.10086798419555028,0.0901853417356809,-0.1348801056543986,-0.01175694540143013,0.08317341655492783,-0.10326739152272542,-0.14061770339806876,-0.2623666127522786,0.03398507088422775,0.3862096468607585,0.13907249023516974,-0.15525759756565094,-0.012815334523717562,-0.06113097940882047,-0.05750613659620285,-0.028348665684461594,0.010689698159694672,-0.11596855024496715,0.012371054540077845,-0.12299808114767075,0.02842472804089387,0.1879570335149765,-0.025905112425486248,-0.04185639011363188,0.20665086805820465,-0.018605814315378666,-0.005121616957088311,0.025243078048030537,0.01514655320594708,-0.12641598284244537,0.017768479883670807,-0.1354846010605494,0.022753998637199402,-0.040450540060798325,-0.09869856387376785,-0.05141254204014937,0.07392239570617676,-0.13093523929516473,0.03199204926689466,-0.03424860195567211,-0.02153485765059789,-0.11505218346913655,0.045703139156103134,-0.1488834172487259,-0.0018052062951028347,0.11579144497712453,-0.23104938368002573,0.21450331807136536,0.18322226405143738,0.0009410027414560318,0.06877507517735164,0.0970128799478213,-0.0007383733366926511,-0.005587324189643065,0.02919316664338112,-0.10640912254651387,-0.1345315327246984,0.07075422878066699,-0.031447305188824735,0.11991422126690547,0.02749903655300538",Known person(Football player)
Mayan elsayed,"-0.137120558321476,0.03646372146904468,0.04119950234889984,-0.10421685129404068,-0.11658505946397782,0.029049557447433472,-0.04748193062841892,-0.07117496430873871,0.20862741470336915,-0.22878605127334595,0.16653246581554412,-0.07981151640415192,-0.19878434836864473,0.08997132554650307,-0.10576579421758651,0.1278724804520607,-0.11259313523769379,-0.18930318653583528,-0.0365110233426094,-0.057710867188870904,0.07404658496379853,0.011731722578406333,-0.05074923299252987,0.10507146567106247,-0.15611487329006196,-0.39108253717422486,-0.09554526582360268,-0.09697135090827942,-0.03728963602334261,-0.06301852576434612,0.037782002426683906,0.037129821814596654,-0.21299054026603698,0.023656348511576653,-0.010313704423606396,0.1318092405796051,-0.00868968591094017,-0.07630314081907272,0.18716318607330323,0.032885305024683474,-0.29031355381011964,-0.01105683334171772,0.08366451784968376,0.26807870864868166,0.1257109299302101,-0.0023666616529226304,-0.008851901441812516,-0.07446208894252777,0.10984519273042678,-0.26210432648658755,0.08636954501271248,0.16250198036432267,0.08903475999832153,0.09227681308984756,0.08988147377967834,-0.07595339715480805,0.05880235210061073,0.11733559668064117,-0.18371279239654542,0.04283272288739681,0.08223670423030853,-0.05091051235795021,0.039811615273356436,-0.07085305079817772,0.22536771595478058,0.12493084520101547,-0.1103322297334671,-0.12812923938035964,0.18113324344158171,-0.19880899786949158,-0.023182224947959185,0.13361603021621704,-0.10175863429903984,-0.21990153789520264,-0.21833207607269287,0.06988902390003204,0.46050021052360535,0.2343571037054062,-0.08552767112851142,0.05005200207233429,-0.09135251194238662,-0.049198617413640025,0.08189586848020554,0.13504960685968398,0.03630279153585434,0.0017264828085899353,-0.02255544299259782,0.08682486340403557,0.23920177817344665,0.020147418044507502,-0.04487448632717132,0.2122399926185608,-0.018882282450795172,-0.03712901286780834,0.000316437054425478,0.09596242159605026,-0.1575675219297409,-0.011085923388600349,-0.11104990392923356,-0.02199934497475624,-0.03670383580029011,0.03024176973849535,-0.027097281347960234,0.10213465690612793,-0.20461925268173217,0.15079007744789125,-0.06631466001272202,-0.08814845085144044,-0.013147379644215107,0.06819360628724098,-0.053344258293509486,-0.05340484902262688,0.11133537590503692,-0.2686103194952011,0.12170569896697998,0.1164618194103241,0.022792093642055988,0.17215884625911712,0.04927486404776573,0.05114542655646801,0.04132640473544598,-0.10129411071538925,-0.19342467784881592,-0.08928179889917373,0.04140694290399551,-0.010260036401450633,0.05565330386161804,-0.011150217615067959",Known person(Actress)
Messi,"-0.1040976271033287,0.13320356011390685,0.012782569508999586,-0.07958118543028832,-0.1816035181283951,0.09506895542144775,-0.04171130396425724,-0.05587725192308426,0.13390127718448638,-0.03163185715675354,0.25039798617362974,-0.009189188852906227,-0.2590051740407944,-0.0037653999403119086,-0.05372780822217464,0.12929310649633408,-0.17191873788833617,-0.028641091845929622,-0.1341075763106346,-0.16630414724349976,-0.05187366828322411,0.10297191441059113,0.012168520130217075,0.044578625820577145,-0.11301741600036622,-0.2509353280067444,-0.026780327223241328,-0.13980014771223068,0.123606376349926,-0.15995514988899232,0.006261429935693741,0.049900376796722413,-0.10382799655199051,-0.04913282990455627,0.04470304921269417,0.01652596816420555,-0.07257458381354809,-0.13953236043453215,0.21676375567913056,-0.04600928276777268,-0.06126077622175217,0.05377144180238247,0.12361640483140945,0.2539473682641983,0.1534071832895279,-0.006732492032460869,0.02816093750298023,-0.04589487966150045,0.1784386545419693,-0.2041288286447525,0.08214901983737946,0.10723594874143601,0.16727636754512787,0.08222509883344173,0.06906185448169708,-0.19231167435646057,-0.020749739184975625,0.16401721835136412,-0.18665908575057982,0.08750004470348358,0.06484307795763015,-0.027650358527898787,-0.10369353294372559,-0.10946138948202133,0.2012680858373642,0.1763428270816803,-0.12133539617061614,-0.19804940968751908,0.12811840176582337,-0.14165938794612884,-0.08701325487345457,0.0556688480079174,-0.12493709623813629,-0.09080959185957908,-0.19099205434322358,0.07782315090298653,0.2925232291221619,0.1620493322610855,-0.1685013473033905,-0.007638188078999519,-0.024313089111819862,-0.03183068446815014,-0.04236363545060158,0.052148185297846796,-0.14026497751474382,-0.10941546857357025,-0.005809285677969456,-0.009424031525850297,0.16245585680007935,0.008790352568030357,-0.04937323816120624,0.21873531341552735,0.05140887424349785,-0.038987270928919314,0.02730957791209221,0.003559747897088528,-0.15547118633985518,-0.06226319298148155,-0.0396032951772213,-0.0075714529491961,0.040822315774857995,-0.15171620547771453,0.02511841133236885,0.08623023182153702,-0.1960400938987732,0.21272731721401214,-0.057344303280115125,0.030178456008434294,0.0475178599357605,0.026841206289827824,-0.06723747029900551,0.03208334930241108,0.2316372960805893,-0.25804977118968964,0.24035185277462007,0.10395323261618614,0.06517492644488812,0.1441563829779625,0.09594395607709885,0.10712128132581711,0.01915148887783289,0.0726794108748436,-0.11924634277820587,-0.15460004210472106,0.051975923404097554,-0.1168974757194519,0.038888095319271086,0.05317639335989952",Known person(Football player)
mohammed sallah,"-0.13514311015605926,0.13361055999994279,0.08043850809335709,-0.028724527917802334,-0.05339530929923057,-0.05571847669780254,-0.003656186908483505,-0.02364279106259346,0.1917867213487625,-0.0012469020672142505,0.209591743350029,-0.015022085420787335,-0.20457940101623534,-0.06002471446990967,-0.0720652375370264,0.10776457190513611,-0.1844598352909088,-0.13754964023828506,-0.0649803876876831,-0.12151974886655807,0.061431171372532845,0.015352516621351241,-0.014555471949279308,0.03886853326112032,-0.20162709355354308,-0.2868026584386826,-0.030348920077085496,-0.16663300693035127,0.02255122400820255,-0.15037332326173783,0.07623394504189492,0.02461326476186514,-0.14139477610588075,-0.06239556148648262,-0.03274892792105675,0.0412964653223753,0.025309329107403754,-0.006763748824596405,0.20276458263397218,0.043173158541321754,-0.1422930896282196,0.06526505229994654,0.029656435549259185,0.3601468503475189,0.12916381359100343,-0.0009584981948137283,0.041385728120803836,-0.017180716246366502,0.10761184692382812,-0.2472073495388031,0.06351561546325683,0.14279398173093796,0.12871015667915345,0.03553637098520994,0.12973417192697526,-0.12529730349779128,-0.02347231060266495,0.09271779507398606,-0.2356600880622864,0.10535912364721298,0.09410717040300369,0.020191076211631298,-0.03556381780654192,-0.0671360470354557,0.18877047598361968,0.11593526750802993,-0.11211147904396057,-0.08983013555407524,0.1169544592499733,-0.11879661232233048,-0.03324919529259205,0.07015060931444168,-0.07573219910264015,-0.11409721970558166,-0.25476202368736267,0.07789959758520126,0.4004968345165253,0.0931622639298439,-0.14228030741214753,0.026276458241045474,-0.14082112908363342,-0.012934619560837746,-0.0011881569400429726,-0.04749148041009903,-0.1395453155040741,0.04292258433997631,-0.07169922962784767,0.056038889288902285,0.1178415670990944,0.05426012203097343,-0.03779057841747999,0.15714898556470872,0.011887197941541671,-0.04744211845099926,0.026903553307056426,0.008591537922620773,-0.1348012000322342,-0.00257948599755764,-0.07538774609565735,0.006678466871380806,0.0204378517344594,-0.12760376781225205,0.03338336134329438,0.027619794011116028,-0.19728821218013765,0.1108109176158905,0.023798990063369274,-0.025437650084495545,-0.049419154226779935,0.1416301280260086,-0.14028069972991944,0.000317874550819397,0.18101122677326204,-0.284899628162384,0.2099650114774704,0.1435053437948227,0.0029441061895340683,0.1073172703385353,0.05639784932136536,0.025211157277226448,-0.0551576629281044,0.028468804061412813,-0.042710666358470914,-0.07713906541466713,0.0012566423043608665,-0.03561324793845415,0.07990137338638306,0.05561869740486145",Known person(Football player)
Tamer hosny,"-0.17756710946559906,0.12072882652282715,-0.0019512847065925598,-0.01653208490461111,-0.07590083256363869,-0.028088821470737456,0.02391572780907154,-0.02159449104219675,0.16330426186323166,-0.036651439219713214,0.13814654797315598,-0.02247478784993291,-0.1994890183210373,-0.06825921535491944,-0.05567068904638291,0.058413369208574296,-0.16282808482646943,-0.17301830649375916,-0.09561825655400753,-0.08113498166203499,0.07494456693530083,0.02812896508257836,0.015784753439947962,0.04895328246057033,-0.14667057394981384,-0.4016080617904663,-0.07934000045061111,-0.09651452600955963,0.11260936409235,-0.162690669298172,0.003943423740565777,-0.040963341295719144,-0.24663306176662445,-0.0933220162987709,-0.023397021181881427,0.07734634652733803,0.0017513237427920104,-0.06381203606724739,0.1455046057701111,0.008142781257629395,-0.1619965761899948,-0.01864791288971901,0.08225652575492859,0.3787590563297272,0.13517502844333648,0.07286602705717087,-0.024045268073678017,-0.022279793582856654,0.08287540003657341,-0.194731667637825,0.11428456753492355,0.1396772086620331,0.06515606753528118,0.033805324137210845,0.08143153488636017,-0.10227849185466767,0.026414201036095618,0.1106670305132866,-0.21643451750278472,0.0892208233475685,0.05850340947508812,0.028869822435081006,-0.016955949924886228,-0.03457858618348837,0.19864835739135742,0.07597780004143714,-0.06629595048725605,-0.14337276071310043,0.10533452332019806,-0.23685899674892424,0.02241144869476557,0.02671800646930933,-0.039438119158148766,-0.15537966191768646,-0.2505145937204361,0.04393124580383301,0.4211195409297943,0.15684309005737304,-0.11269048154354096,0.061709921807050705,-0.10840496867895126,-0.07068547010421752,0.11869672238826752,0.03760874755680561,-0.13388909101486207,0.08187249153852463,-0.15497873723506927,0.08180053234100342,0.21068479120731354,0.07486016824841499,-0.05444325730204582,0.18566246926784516,0.022987062856554986,-0.0587702140212059,0.07784693092107772,0.00988465193659067,-0.18318639397621156,0.003302936814725399,-0.13160751909017562,-0.0344438461586833,0.0410364044830203,-0.09499896056950093,-0.04021137971431017,0.09809924215078354,-0.15803015232086182,0.11151257455348969,0.0555763341486454,-0.01665194146335125,-0.008724913373589516,0.0387403127271682,-0.16762470304965973,-0.1127206489443779,0.11277207136154174,-0.23990303575992583,0.1556723177433014,0.16943753957748414,0.051597853936254975,0.15423808097839356,0.08909078538417817,0.025302290543913843,0.032551595382392405,0.016308041289448738,-0.1251186966896057,-0.03705065101385117,0.034259896725416183,-0.051808925718069075,0.0899897349998355,0.025232470687478782","Known person(Actor,Singer)"
Tara emad,"-0.21382669607798258,0.1114289623995622,0.11994879816969235,-0.04797757354875406,-0.16707267860571542,-0.034782338266571365,-0.05113310335824887,-0.0603851747388641,0.14486616353193918,-0.1511770859360695,0.15641922876238823,-0.045098524540662766,-0.17522699385881424,0.019235974876210093,-0.0820536445826292,0.20340344806512198,-0.18193447838226953,-0.14968923355142275,-0.05080922755102316,-0.08628418793280919,0.06535134588678677,0.038089577263842024,0.05665000186612209,0.1256174606581529,-0.16357388347387314,-0.38414599001407623,-0.015365292395775517,-0.024189850160231192,0.009772717952728271,-0.10542155305544536,0.008113629184663296,0.06234673007080952,-0.2112719938158989,0.010387416929006577,-0.007987347897142172,0.21707715094089508,-0.060079487351079784,-0.07756797131150961,0.14896742006142935,0.04420996457338333,-0.3240395188331604,-0.010983733848358193,0.02775893344854315,0.31876728932062787,0.26624825596809387,-0.014699454846171042,0.038906353836258255,-0.08667164978881677,0.1473950743675232,-0.2677401552597682,0.006801859165231387,0.15330485502878824,-0.008801745716482401,0.022529389864454668,0.04090254691739877,-0.14706306407848993,0.02165058006842931,0.12515601391593614,-0.16780715684096018,-0.03204998001456261,0.09281623115142186,-0.12684654692808786,0.04306321032345295,-0.08131041067341964,0.1635780098537604,0.11261436591545741,-0.10564877341190974,-0.1729828268289566,0.19677161425352097,-0.20898671199878058,0.004519111088787516,0.1590091014901797,-0.09112402175863583,-0.1977043648560842,-0.3009254187345505,0.004114800443251927,0.4302225063244502,0.1730895588795344,-0.05505949320892493,0.01782558284079035,-0.038934484434624515,0.03432164372255405,0.0547096940378348,0.21666323145230612,-0.03023943832765023,0.06624492692450683,-0.10227693244814873,0.07982845480243365,0.1620637079079946,0.024455752223730087,-0.0641471619407336,0.19160674015680948,0.04196332457164923,-0.03405114480604728,0.06624666042625904,0.10367102858920892,-0.20056646565596262,0.0277207816640536,-0.16642124950885773,-0.04289064680536588,-0.06328707126279672,-0.04360939065615336,0.014060106438895067,0.08856302375594775,-0.14675566429893175,0.21371168394883475,-0.07799525248507659,-0.00873359696318706,-0.08942781761288643,-0.013693168371294936,-0.05216164824863275,0.00683997618034482,0.10686047871907552,-0.2325007220109304,0.1236852469543616,0.2056132728854815,0.027964636373023193,0.2063173701365789,0.11198508366942406,0.07253899052739143,-0.01823202132557829,-0.03937099998195966,-0.11971966549754143,-0.031176891177892685,-0.0005375119702269634,-0.07245815234879653,0.11635739852984746,0.007550886444126566",Known person(Actress)
Tom holland,"-0.1598902978003025,0.09439386427402496,0.022282735211774707,-0.010999179678037763,-0.1274357158690691,0.025533069856464863,-0.01205894211307168,-0.04105573706328869,0.09548671543598175,-0.11211922764778137,0.23483270034193993,0.01712186075747013,-0.29195330291986465,-0.07907195203006268,-0.023566299583762884,0.14781085774302483,-0.12432326748967171,-0.14751967787742615,-0.08520597964525223,-0.10510219819843769,0.06435632985085249,0.07983101904392242,-0.03266387293115258,0.05690169660374522,-0.18165912106633186,-0.238269854336977,-0.0679806461557746,-0.07943869009613991,0.054824948543682694,-0.1475738249719143,0.012152062961831689,-0.010400841711089015,-0.11631915532052517,-0.014706457033753395,0.020368389785289764,0.08361055701971054,-0.09403728693723679,-0.05329787125810981,0.26307110488414764,0.032946302788332105,-0.2293267659842968,0.003319991985335946,0.08095654100179672,0.336631178855896,0.1453699953854084,0.013503547292202711,0.03295533545315266,-0.019679790595546365,0.18291131779551506,-0.32389751076698303,0.11035001650452614,0.11903557926416397,0.22462115436792374,0.10149310156702995,0.0013281609863042831,-0.197653878480196,0.0035558543168008327,0.21686097607016563,-0.2469615377485752,0.12485743127763271,0.050704061053693295,-0.1859334632754326,-0.013629769440740347,0.04257376631721854,0.18529615551233292,0.11533138528466225,-0.11977507546544075,-0.148005997762084,0.19492243602871895,-0.20381204411387444,-0.05752631276845932,0.16868791729211807,-0.06279298663139343,-0.21537892520427704,-0.2840052396059036,0.09253828786313534,0.3788069114089012,0.17062297090888023,-0.09169268235564232,0.014809239655733109,-0.005067705293186009,0.017018149606883526,0.039935697335749865,0.09482613764703274,-0.13137111626565456,-0.010644285241141915,-0.10898608900606632,0.05443350784480572,0.240615863353014,-0.02536989375948906,-0.050425115041434765,0.2619721256196499,0.11953302659094334,0.040649638744071126,0.08194489777088165,0.064674012362957,-0.04638744564726949,-0.07732558622956276,-0.049757740925997496,0.02417250443249941,0.02509868424385786,-0.14902069978415966,0.058004874270409346,0.03130117477849126,-0.16863320022821426,0.22378744184970856,-0.022775867488235235,0.0018487393390387297,-0.0691732014529407,-0.015708188177086413,-0.08607372548431158,0.02594388648867607,0.15420885756611824,-0.28087911009788513,0.20712627097964287,0.17510483413934708,0.0652449456974864,0.185072373598814,0.12597635947167873,0.018794878385961056,0.026248965645208955,-0.11464799381792545,-0.12783069163560867,-0.09109642915427685,0.10220452211797237,-0.07258937321603298,0.13322111777961254,0.05390908243134618",Known person(Actor)
Zidane,"-0.12160527110099792,0.09170530289411545,0.02799171954393387,-0.03708135895431042,-0.11099495887756347,-0.04073370741680264,0.03394820764660835,-0.03156585823744536,0.0930169701576233,0.02382907932624221,0.269331568479538,-0.0411410647444427,-0.27045347094535827,-0.1291872665286064,-0.07040421962738037,0.07136319875717163,-0.21859040558338166,-0.0489102479070425,-0.13180759251117707,-0.05741183198988438,0.07935881093144417,0.0224173741415143,0.049899963289499284,-0.02759622149169445,-0.0888249158859253,-0.38716464042663573,-0.012912393175065517,-0.0650636687874794,0.09065793007612229,-0.181987863779068,0.05557963289320469,0.09180909246206284,-0.1855712652206421,-0.06644916385412217,-0.006085140816867352,0.07389444410800934,0.02490350231528282,-0.005361776798963547,0.20513243675231935,-0.022037517465651035,-0.14744155555963517,0.09607951119542121,0.03251765929162502,0.2973397642374039,0.21215662658214568,-0.00547244087792933,-0.031330200284719466,-0.07884567249566317,0.11434484720230102,-0.30524192452430726,0.008727380074560642,0.2224903404712677,0.02746442733332515,0.035659969039261344,0.06047901175916195,-0.10224292725324631,-0.008397803083062172,0.08377185761928559,-0.21623347997665404,0.06438291072845459,0.028863436728715896,-0.07542682513594627,-0.06316906213760376,-0.09570414125919342,0.09949633181095123,0.0545373123139143,-0.12331073433160782,-0.14595491737127303,0.10334650576114654,-0.1658972293138504,-0.029049347806721925,0.04757872335612774,-0.09231238886713981,-0.15337355434894562,-0.2728920757770538,0.06608104407787323,0.37069905996322633,0.08889329582452773,-0.2188902258872986,0.05182616002857685,-0.13205998316407203,-0.08657973855733872,0.022682928666472434,0.025609101727604867,-0.07676500976085662,0.0027386484667658805,-0.13002550601959229,0.08879783004522324,0.13703104555606843,-0.015689258463680744,-0.01679958738386631,0.26667140126228334,0.021666528284549715,0.03889912683516741,0.08653824031352997,0.07738765105605125,-0.11916881799697876,-0.022343506384640933,-0.1482338488101959,0.007273290306329727,0.1113048255443573,-0.23745566308498384,-0.012171923462301493,0.06402918994426728,-0.1773403137922287,0.18721908330917358,-0.009170417115092278,0.005623090639710426,0.03124631866812706,-0.07209055721759797,-0.039914159942418335,0.04451973084360361,0.19280795454978944,-0.2657643735408783,0.33096819519996645,0.21388943493366241,0.049447217397391795,0.1391890436410904,0.074860118329525,0.02640254832804203,-0.024785416945815087,0.017290334589779376,-0.07627046853303909,-0.10119327902793884,-0.05450837779790163,-0.04229967445135117,-0.0014329759404063224,0.008602841757237911",Known person(Football player)
